name,trace,lat,lng,country_id
Gingin,Gingin,-31.3496,115.9,36
Meekatharra,Meekatharra,-26.6,118.4833,36
Melbourne,Melbourne,-37.82,144.975,36
Woomera,Woomera,-31.1496,136.8,36
Moranbah,Moranbah,-22.0016,148.038,36
Port Augusta,Port Augusta,-32.49,137.77,36
Port Douglas,Port Douglas,-16.4846,145.4587,36
Gladstone,Gladstone,-23.8533,151.2467,36
Gold Coast,Gold Coast,-28.0815,153.4482,36
Horsham,Horsham,-36.7096,142.19,36
Hughenden,Hughenden,-20.85,144.2,36
Northam,Northam,-31.6566,116.6534,36
Nowra,Nowra,-34.8828,150.6,36
Shepparton,Shepparton,-36.3746,145.3914,36
Yeppoon,Yeppoon,-23.1329,150.7567,36
Young,Young,-34.3096,148.29,36
Caloundra,Caloundra,-26.8,153.1333,36
Ingham,Ingham,-18.6496,146.1666,36
Innisfail,Innisfail,-17.5313,146.0387,36
Inverell,Inverell,-29.7668,151.1126,36
Kingston,Kingston,-42.9911,147.3084,36
Kingston South East,Kingston South East,-36.8328,139.8501,36
Clare,Clare,-33.8329,138.6,36
Bowen,Bowen,-20.0013,148.2087,36
Melton,Melton,-37.6895,144.57,36
Meningie,Meningie,-35.6995,139.3333,36
Merimbula,Merimbula,-36.8996,149.9,36
Merredin,Merredin,-31.4828,118.2667,36
Mildura,Mildura,-34.185,142.1514,36
Thargomindah,Thargomindah,-28,143.8167,36
Theodore,Theodore,-24.9495,150.0833,36
Three Springs,Three Springs,-29.5333,115.75,36
Oatlands,Oatlands,-42.2996,147.3666,36
Wagin,Wagin,-33.2996,117.35,36
Armidale,Armidale,-30.5123,151.6675,36
Atherton,Atherton,-17.2703,145.4694,36
Ayr,Ayr,-19.5702,147.3995,36
Bairnsdale,Bairnsdale,-37.8296,147.61,36
Camooweal,Camooweal,-19.9167,138.1167,36
Canberra,Canberra,-35.283,149.129,36
Longreach,Longreach,-23.4496,144.25,36
Brisbane,Brisbane,-27.455,153.0351,36
Devonport,Devonport,-41.1927,146.3311,36
Wallaroo,Wallaroo,-33.9329,137.6333,36
Wangaratta,Wangaratta,-36.36,146.3,36
Cowell,Cowell,-33.6829,136.9166,36
Cowra,Cowra,-33.8296,148.68,36
Goondiwindi,Goondiwindi,-28.5548,150.3253,36
Goulburn,Goulburn,-34.7496,149.7102,36
Grafton,Grafton,-29.712,152.9377,36
Murray Bridge,Murray Bridge,-35.1296,139.26,36
Muswellbrook,Muswellbrook,-32.2696,150.89,36
Windorah,Windorah,-25.4332,142.6502,36
Bedourie,Bedourie,-24.3496,139.4666,36
Newman,Newman,-23.3666,119.7333,36
Birdsville,Birdsville,-25.8996,139.3666,36
Kalgoorlie,Kalgoorlie,-30.7354,121.46,36
Biloela,Biloela,-24.3936,150.4961,36
Richmond,Richmond,-33.5995,150.74,36
Bicheno,Bicheno,-41.8784,148.2886,36
Deniliquin,Deniliquin,-35.5296,144.95,36
Broken Hill,Broken Hill,-31.95,141.4331,36
Swan Hill,Swan Hill,-35.3396,143.54,36
Albury,Albury,-36.06,146.92,36
Wagga Wagga,Wagga Wagga,-35.1222,147.34,36
Tumut,Tumut,-35.3096,148.22,36
Lismore,Lismore,-28.8167,153.2931,36
Winton,Winton,-22.3996,143.0333,36
Smithton,Smithton,-40.8329,145.1167,36
Oranjestad,Oranjestad,12.5304,-70.029,533
Goranboy,Goranboy,40.6103,46.7897,31
Füzuli,Fuzuli,39.6009,47.1453,31
Lankaran,Lankaran,38.754,48.8511,31
Xocalı,Xocali,39.913,46.7903,31
Saki,Saki,41.1923,47.1705,31
Astara,Astara,38.456,48.875,31
Xocavənd,Xocavand,39.7955,47.1099,31
Cəbrayıl,Cabrayil,39.3992,47.0283,31
Beyləqan,Beylaqan,39.7756,47.6186,31
Masallı,Masalli,39.0278,48.6703,31
Biləsuvar,Bilasuvar,39.4583,48.545,31
Baku,Baku,40.3953,49.8622,31
Xızı,Xizi,40.9058,49.0813,31
Dəvəçi,Davaci,41.2012,48.9871,31
Ağsu,Agsu,40.5692,48.3965,31
Yevlax,Yevlax,40.6172,47.15,31
Mingəçevir,Mingacevir,40.7639,47.0595,31
Ağdam,Agdam,39.991,46.9274,31
Sumqayt,Sumqayt,40.58,49.63,31
Xaçmaz,Xacmaz,41.4643,48.8057,31
İmişli,Imisli,39.8724,48.0649,31
Saatlı,Saatli,39.9321,48.3689,31
Laçın,Lacin,39.6434,46.5462,31
Şərur,Sarur,39.5544,44.9826,31
Cəlilabad,Calilabad,39.2096,48.4919,31
Heydərabad,Heydarabad,39.7229,44.8485,31
Yardımlı,Yardimli,38.9077,48.2405,31
